impl,np,road_length,density,repetition,wall_time_ms,avg_velocity
traffic_mpi,3,8000,0.50,6,933.379,0.978085
traffic_mpi_opt,3,8000,0.50,6,927.527,0.995059
traffic_mpi,3,64000,0.50,6,926.417,0.993440
traffic_mpi_opt,3,64000,0.50,6,937.835,0.982516
traffic_mpi,3,500000,0.50,6,1369.860,0.987501
traffic_mpi_opt,3,500000,0.50,6,929.220,0.990293
traffic_mpi,3,2000000,0.50,6,4697.243,0.989131
traffic_mpi_opt,3,2000000,0.50,6,2170.098,0.990048
traffic_mpi,3,5000000,0.50,6,11638.161,0.990201
traffic_mpi_opt,3,5000000,0.50,6,4660.112,0.990380
traffic_mpi,3,10000000,0.50,6,23531.145,0.990123
traffic_mpi_opt,3,10000000,0.50,6,8784.518,0.990640
traffic_mpi,4,8000,0.50,6,950.364,0.993996
traffic_mpi_opt,4,8000,0.50,6,962.211,1.000000
traffic_mpi,4,64000,0.50,6,954.560,0.987901
traffic_mpi_opt,4,64000,0.50,6,939.330,0.987926
traffic_mpi,4,500000,0.50,6,1376.765,0.988363
traffic_mpi_opt,4,500000,0.50,6,950.173,0.991844
traffic_mpi,4,2000000,0.50,6,4047.650,0.991038
traffic_mpi_opt,4,2000000,0.50,6,1717.007,0.989524
traffic_mpi,4,5000000,0.50,6,9424.746,0.990735
traffic_mpi_opt,4,5000000,0.50,6,3558.788,0.989379
traffic_mpi,4,10000000,0.50,6,18358.367,0.990610
traffic_mpi_opt,4,10000000,0.50,6,6680.524,0.989417
traffic_mpi,5,8000,0.50,6,990.780,0.990281
traffic_mpi_opt,5,8000,0.50,6,998.244,0.994016
traffic_mpi,5,64000,0.50,6,978.663,0.986619
traffic_mpi_opt,5,64000,0.50,6,1017.709,0.994887
traffic_mpi,5,500000,0.50,6,1323.192,0.988949
traffic_mpi_opt,5,500000,0.50,6,1053.707,0.991477
traffic_mpi,5,2000000,0.50,6,3467.310,0.989828
traffic_mpi_opt,5,2000000,0.50,6,1611.245,0.988386
traffic_mpi,5,5000000,0.50,6,7826.350,0.990405
traffic_mpi_opt,5,5000000,0.50,6,3091.880,0.988574
traffic_mpi,5,10000000,0.50,6,15078.831,0.990407
traffic_mpi_opt,5,10000000,0.50,6,5539.605,0.990525
traffic_mpi,6,8000,0.50,6,974.403,0.986584
traffic_mpi_opt,6,8000,0.50,6,954.840,0.987697
traffic_mpi,6,64000,0.50,6,956.315,0.984582
traffic_mpi_opt,6,64000,0.50,6,957.949,0.990162
traffic_mpi,6,500000,0.50,6,1193.256,0.989450
traffic_mpi_opt,6,500000,0.50,6,1016.235,0.985731
traffic_mpi,6,2000000,0.50,6,2944.109,0.990754
traffic_mpi_opt,6,2000000,0.50,6,1424.390,0.989191
traffic_mpi,6,5000000,0.50,6,6470.590,0.989088
traffic_mpi_opt,6,5000000,0.50,6,2691.716,0.990071
traffic_mpi,6,10000000,0.50,6,11984.105,0.989380
traffic_mpi_opt,6,10000000,0.50,6,4661.904,0.989826
traffic_mpi_opt,2,20000000,0.10,6,25723.124,1.000000
traffic_mpi_opt,2,20000000,0.30,6,25721.996,1.000000
traffic_mpi_opt,2,20000000,0.50,6,25580.782,0.990671
traffic_mpi_opt,2,20000000,0.70,6,25654.109,0.428658
traffic_mpi_opt,2,20000000,0.90,6,26000.986,0.111145
traffic_mpi_opt,3,20000000,0.10,6,17159.606,1.000000
traffic_mpi_opt,3,20000000,0.30,6,17140.621,1.000000
traffic_mpi_opt,3,20000000,0.50,6,17178.117,0.990147
traffic_mpi_opt,3,20000000,0.70,6,17438.887,0.428784
traffic_mpi_opt,3,20000000,0.90,6,17388.714,0.111169
traffic_mpi_opt,4,20000000,0.10,6,12994.398,1.000000
